antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Dresses_unknown,cluster_kmeans_0,0.024960726130214696,0.9841159015534997,0.024960726130214696,1.0,1.0161404753458674,1.0,0.0003964786311484621,inf,0.01629072681704262,0.025363604114934372,1.0,0.5126818020574672
Mens>Apparel>LS Tops>t_shirt_unknown,cluster_kmeans_0,0.011869436201780416,0.9841159015534997,0.011869436201780416,1.0,1.0161404753458674,1.0,0.0001885352931335349,inf,0.016074898427839657,0.012061014544164599,1.0,0.5060305072720823
Mens>Apparel>Pants>joggers_unknown,cluster_kmeans_0,0.010647582475126548,0.9841159015534997,0.010647582475126548,1.0,1.0161404753458674,1.0,0.00016912724825214089,inf,0.01605504587155962,0.010819439517559417,1.0,0.5054097197587797
Womens>Apparel>SS Tops>crew_neck_unknown,cluster_kmeans_0,0.012218537266538662,0.9841159015534997,0.012218537266538662,1.0,1.0161404753458674,1.0,0.0001940804488139332,inf,0.016080579607704613,0.012415750266051791,1.0,0.5062078751330259
Jeans_unknown,cluster_hierarchical_0,0.011345784604643043,0.9909233723162856,0.011345784604643043,1.0,1.0091597674828254,1.0,0.00010298146263596451,inf,0.009180790960452016,0.011449709353531795,1.0,0.5057248546767659
Dresses_unknown,cluster_hierarchical_0,0.024960726130214696,0.9909233723162856,0.024960726130214696,1.0,1.0091597674828254,1.0,0.0002265592177991202,inf,0.009308986752595743,0.025189360577769947,1.0,0.512594680288885
cluster_kmeans_0,cluster_hierarchical_0,0.9841159015534997,0.9909233723162856,0.9841159015534997,1.0,1.0091597674828254,1.0,0.008932453636024018,inf,0.571428571428566,0.9931301743878809,1.0,0.9965650871939404
Womens>Apparel>SS Tops>crew_neck_unknown,cluster_hierarchical_0,0.012218537266538662,0.9909233723162856,0.012218537266538662,1.0,1.0091597674828254,1.0,0.00011090311360796058,inf,0.009188902632973962,0.012330456226880395,1.0,0.5061652281134402
Mens>Apparel>LS Tops>t_shirt_unknown,cluster_hierarchical_0,0.011869436201780416,0.9909233723162856,0.011869436201780416,1.0,1.0091597674828254,1.0,0.00010773445321916181,inf,0.00918565624447972,0.011978157477540954,1.0,0.5059890787387705
Mens>Apparel>Pants>joggers_unknown,cluster_hierarchical_0,0.010647582475126548,0.9909233723162856,0.010647582475126548,1.0,1.0091597674828254,1.0,9.664414185836696e-05,inf,0.009174311926605568,0.010745111854852914,1.0,0.5053725559274265
Outerwear_unknown,cluster_hierarchical_0,0.020073311223599233,0.9909233723162856,0.020073311223599233,1.0,1.0091597674828254,1.0,0.00018219797235593735,inf,0.009262557890986862,0.020257178087017793,1.0,0.5101285890435089
cluster_hierarchical_0,cluster_kmeans_0,0.9909233723162856,0.9841159015534997,0.9841159015534997,0.9931301743878809,1.0091597674828254,1.0,0.008932453636024018,2.3121545354046535,0.999999999999994,0.9931301743878809,0.5675029567930724,0.9965650871939404
Womens>Apparel>Leggings>full_length_unknown,cluster_hierarchical_0,0.021295164950253097,0.9909233723162856,0.021295164950253097,1.0,1.0091597674828254,1.0,0.00019328828371673393,inf,0.00927412163367226,0.021490223709705828,1.0,0.5107451118548529
Mens>Apparel>Pullovers>hoodie_unknown,cluster_hierarchical_0,0.010298481410368302,0.9909233723162856,0.010298481410368302,1.0,1.0091597674828254,1.0,9.347548146956645e-05,inf,0.009171075837742411,0.010392813105513474,1.0,0.5051964065527568
Mens>Apparel>Sleeveless Tops>tanks_unknown,cluster_kmeans_0,0.021469715482632223,0.9841159015534997,0.021295164950253097,0.9918699186991868,1.0078791706682586,1.0,0.00016647654196535674,1.953744108919499,0.007989098331413036,0.021635041674055683,0.4881622442597965,0.5067543988671528
Womens>Apparel>Leggings>full_length_unknown,cluster_kmeans_0,0.021295164950253097,0.9841159015534997,0.021120614417873974,0.9918032786885247,1.0078114550561472,1.0,0.00016370396412515933,1.9378600104730601,0.007919557459904802,0.021457705266891294,0.4839668528193193,0.5066323949313499
Outerwear_unknown,cluster_kmeans_0,0.020073311223599233,0.9841159015534997,0.019898760691220107,0.9913043478260869,1.007304471212425,1.0,0.0001442959192437636,1.826671321347521,0.007400046250288989,0.02021635041674056,0.45255613951265855,0.5057621419868285
Mens>Apparel>SS Tops>t_shirt_unknown,cluster_hierarchical_0,0.05987083260603945,0.9909233723162856,0.0595217315412812,0.9941690962099126,1.003275453969806,1.0,0.00019432419192076666,1.5566416477570302,0.003472672171688803,0.06004578270822327,0.35759138820363495,0.5271180164861435
Jewelry_unknown,cluster_hierarchical_0,0.04643044161284692,0.9909233723162856,0.04608134054808867,0.9924812030075187,1.0015721000581426,1.0,7.233076695199736e-05,1.2071914819340093,0.0016460597185471765,0.04648705758055995,0.17163100057836173,0.5194923189601623
Womens>Apparel>Shorts>tight_unknown,cluster_kmeans_0,0.011694885669401292,0.9841159015534997,0.011520335137022168,0.9850746268656716,1.0009741995944366,1.0,1.1212182914211583e-05,1.0642345959155166,0.000984768204831796,0.011704202872849798,0.06035755289486554,0.4983904528439745
Mens>Apparel>Sleeveless Tops>tanks_unknown,cluster_hierarchical_0,0.021469715482632223,0.9909233723162856,0.021295164950253097,0.9918699186991868,1.0009552165276803,1.0,2.0322081532006542e-05,1.1164252050968526,0.0009752431528279747,0.021486438886932017,0.10428392745464075,0.5066800712044464
Jeans_unknown,cluster_kmeans_0,0.011345784604643043,0.9841159015534997,0.011171234072263921,0.9846153846153848,1.000507544955931,1.0,5.667027233815028e-06,1.0324663990225302,0.0005131091101696382,0.011349530058521014,0.031445477599336163,0.4979834638578875
